title,year,mdl_id,prequel,compilation,sequel,spinoff
Weak Hero Class 1,2022,702267,,Weak Hero Class 1: Behind the Scenes||https://mydramalist.com/744527-weak-hero-class-1-behind-the-scenes,Weak Hero Class 2||https://mydramalist.com/702271-weak-hero-season-2,
Hospital Playlist Season 2,2021,57173,Hospital Playlist||https://mydramalist.com/36269-doctor-playbook,"Hospital Playlist 2 Special||https://mydramalist.com/707215-hospital-playlist-2-special,,Three Meals a Day: Doctors||https://mydramalist.com/711623-wise-mountain-village-life,,Hospital Playlist's Mission 99 Possible||https://mydramalist.com/705705-hospital-playlist-s-mission-99-possible",,
Flower of Evil,2020,54625,,Flower of Evil Special||https://mydramalist.com/69467-flower-of-evil-special,,
Alchemy of Souls,2022,52939,,,Alchemy of Souls Season 2: Light and Shadow||https://mydramalist.com/733261-alchemy-of-souls-part-2,
Hospital Playlist,2020,36269,,"Hospital Playlist Special||https://mydramalist.com/689959-hospital-playlist-special,,Hospital Playlist Goes Camping||https://mydramalist.com/690567-wise-camping-life",Hospital Playlist Season 2||https://mydramalist.com/57173-hospital-playlist-2,A Life of a Resident That Will Be Wise Someday||https://mydramalist.com/757797-a-life-of-a-resident-that-will-be-wise-someday
Reply 1988,2015,13544,,"Reply 1994||https://mydramalist.com/6753-reply-1994,,Reply 1997||https://mydramalist.com/4689-reply-1997",,
My Mister,2018,25172,,,,
